date,S&P500,나스닥100,나스닥종합,다우존스,러셀2000,반도체(SOX),QQQ(나100 1x),QLD(나100 2x),TQQQ(나100 3x),SPY(S&P 1x),SSO(S&P 2x),UPRO(S&P 3x),SOXX(반도체 1x),SOXL(반도체 3x),DIA(다우 1x),UDOW(다우 3x),IWM(러셀 1x),TNA(러셀 3x)
2010-06-30,5836.409795261351,1506.0096675551551,2081.34997676701,303.22081737805047,356.8233703798859,272.8802962897217,84.16893207049958,78.61247846366653,82.71933285911945,322.3062769126309,49.56940854465809,131.8270779836598,60.99668021261123,66.61961320191864,159.09578135678152,82.93899031164446,144.6980170736371,119.84091428694931
2010-07-31,6237.825510215764,1614.1322703625317,2224.886552841577,324.68637918855995,381.0608418427965,286.4380859110316,90.27810648794345,90.01599659955502,100.75044989307264,344.3200595334804,56.5408288817032,159.74026577769814,64.16443876488746,75.58851534542629,170.59531841421128,101.29962108678528,154.43749226737452,142.1590850376422
2010-08-31,5941.84578211339,1530.5074491971066,2086.0766782033597,310.68809424734263,352.4735121854131,252.50665462171673,85.64696732408605,80.81864936392682,85.51902184923328,328.83236892533307,51.30841741283789,138.23560300364974,57.45213814449477,50.87102816054314,163.87381969270035,88.98637458302612,142.94137826316796,110.96620222202635
2010-09-30,6462.060934497154,1730.2043479223148,2337.3003777205413,334.67922477888817,395.8433489330729,286.7911854735497,96.92903648198222,102.98851464288717,122.40996391214733,358.28084419462346,60.76947510410425,176.86321839177614,66.02042584858918,73.3968205757782,176.80123474611864,111.14330961543304,160.7308821379163,154.68221186821026
2010-10-31,6700.226613756283,1839.669111028234,2474.2549859081296,344.9305258801643,411.77330697207236,306.0069925397281,103.07232677242702,116.31854522287337,146.34317647397498,371.9680393548705,65.36922463978712,197.10126583348406,70.58365777467314,88.32582671165365,182.52469644879653,121.70866729601752,167.39828363832683,172.99036090789758
2010-11-30,6684.881421452121,1833.5036513469865,2465.196438471423,341.44133103830734,425.6249752103857,320.36131841053293,102.89455149490769,115.33969210397316,144.24923290812515,371.9680393548705,65.1068219227755,195.4803887096038,74.0305044009861,100.94711234982938,181.23869737599006,118.81989912438016,173.23221496136497,190.41095566584977
2010-12-31,7121.404447988893,1920.5577095168237,2617.791802895105,359.17075499093164,458.78463533449985,338.18107466076253,107.78935959225923,126.51019993990509,165.61760494476866,396.8348475886267,74.18291081123402,237.24163084251967,77.72851803544324,117.71281385827028,191.06518658787994,137.98251076250747,187.1485451416617,238.0712224994774
2011-01-31,7282.672741957329,1976.0216884098018,2664.3775169700207,368.9250495681073,457.37955106053096,361.7409114722507,110.83737211832391,133.4548372943123,178.87807896045626,406.0812678201384,77.3941811194142,252.81382967033898,83.01743836054592,142.15488858615004,196.2119566094374,149.67575693624826,186.4548470908457,233.23943129255284
2011-02-28,7515.401937546537,2035.841636553969,2745.480678975484,379.29950406898524,482.0853720371721,376.61258850211243,114.34060807876642,141.7355006479551,195.22893899393978,420.18737416251383,82.76683693432592,279.0840372785256,86.63173123055616,158.54375518761094,202.57855740727737,164.17721350423653,196.78822166484832,272.0251143888685
2011-03-31,7507.530959854307,2025.4502270881155,2744.2965944923208,382.1967748957324,493.8528188337465,359.1541556769662,113.82805893366069,139.77787932423436,190.6371947517722,420.2379345906891,82.44483777600223,276.8610735917856,82.58345013473021,135.25542271631522,204.41387719963137,167.02658934972771,201.75332081116645,289.74140297875397
2011-04-30,7721.46091242116,2081.815040041437,2835.543855242962,397.4232309726104,506.5804053597737,369.1726505922748,117.09840272312657,147.84121115620587,206.98845928957311,432.4084751047634,87.180738583061,301.0355474712914,84.94534977052109,144.8156465703165,212.949744454829,188.2275638882303,207.07458187585058,311.36946836234716
2011-05-31,7617.213832360254,2054.5029183358165,2797.80950393425,389.9544090053159,496.6336865041945,360.99361810714015,115.67136871519226,143.63086782068135,198.0737234737024,427.5592934132702,85.10682064866664,289.19151817184434,83.21232004538281,134.80815336736507,209.41395352082762,178.387530168457,203.35925496856336,292.2067790073589
2011-06-30,7478.142842917203,2013.3962597601312,2736.846378288492,385.13185517947903,484.4154349876061,336.9739219562964,113.32844344905781,137.3854493901774,184.18626776608244,420.34649080412436,81.92429423607173,272.2067730881908,77.72079518743041,107.84643015093849,206.98763727457444,171.34047967882842,198.46949127759845,268.63961588169
2011-07-31,7317.554023004396,2046.0772340736887,2719.932881803253,376.7214929039859,466.61790333640516,317.74994117305624,115.21560170468925,141.54908998187327,192.3397938740383,411.93770309796525,78.47010233514847,254.80530287534214,73.47765126598131,89.07928367682038,202.65732088178456,160.41461309831394,191.7092532814451,238.9915340924249
2011-08-31,6901.982022536956,1940.6043857125255,2545.3523328903557,360.28822439912733,425.50787889875863,292.16999275522835,109.37536804633477,125.09638051309211,154.75430441471292,389.2910924896724,68.41737716284754,201.07239999526664,67.69409619858601,64.51954521061064,194.73193597218594,135.21715933490296,174.66359986053155,160.7629819419412
2011-09-30,6406.682070901095,1852.4245492344676,2383.4616041333343,338.5673578657531,377.12076713985203,278.2344319837047,104.46351064067521,113.33562277866285,132.60151760581445,362.2661639521549,58.927368533308325,159.4552186893011,64.47162235254358,54.18225205683655,183.27916854380467,110.28744746121777,155.18813618418832,108.46819720982003
2011-10-31,7096.829329881241,2043.7132053333087,2648.914554090708,370.8819919282262,433.85048191010276,317.3803938854077,115.32978720375209,137.13686948718083,174.42046834993047,401.8065070132028,71.77746975488567,211.44847746671016,73.56952864035631,77.42337374036316,201.11702830556914,143.0584251233154,178.62326648595754,156.1613294200166
2011-11-30,7060.92849213829,1987.530208219437,2585.6919109744335,373.6948579895882,431.719450529935,306.5653877933559,112.22513922235655,128.6541106238795,156.72525170112607,400.17363931778857,70.66006992564174,204.35846602214193,70.94402905978522,67.08610372232746,203.04051434380563,144.53640088317553,177.9474518890101,147.38524725522439
2011-12-31,7121.177726228723,1972.488752952773,2570.702581888386,379.0271123799766,433.76851091868616,299.27322868217493,111.53588469559695,126.55680563907126,152.29046861757752,404.354872824545,72.00878421603382,209.05037976695007,69.49298701279108,61.12873900138565,206.46347202130366,150.47170917390318,178.8639732760463,147.38524725522439
2012-01-31,7431.540461604294,2137.123206988282,2776.6333033096244,391.91259350304466,464.15316354785034,335.81603720896646,120.92537709299458,148.41594603928587,193.19085747431956,423.10662191319966,78.46612711554626,238.10536187319013,78.0881208075968,85.52359831434862,213.8969820854527,167.08817830719676,191.64514278644458,180.02433496748415
2012-02-29,7733.182703911879,2271.475598722136,2927.659364310453,401.81394505480023,474.76143904470564,348.3227269325356,128.6767726384141,167.86714149002617,232.0979434393748,441.47166915381996,85.09421334162694,269.62800504440054,81.1408145822458,95.10741136721757,219.92595535602527,181.32586623312673,196.56849137882554,192.18590213128525
2012-03-31,7975.481216719952,2385.9282468282154,3050.69092172786,409.87902337081914,486.09566164775987,360.2053057202104,135.1788490560714,184.80147148821752,267.9808202929569,455.67098639820074,90.80265417258543,294.6863055682811,83.77936002389839,103.65512276609408,224.6281086168375,192.4047426536894,201.4526088472483,205.10346751335874
2012-04-30,7915.685426149858,2358.572785300401,3006.0787620956853,409.92834532273844,478.2389886766402,339.4703406271222,133.5979312355494,180.04738690869928,256.44524707089994,452.62922927461443,89.34009188618181,287.6658574889231,79.0725010410286,85.5001479299113,224.88676333145946,192.11538311226442,198.19278138321206,193.0076311026955
2012-05-31,7419.761989673532,2186.4132696493407,2789.9547957981263,384.4837926036158,446.00434296176843,302.50049299298075,124.19247668209417,154.95674416127756,204.00943331035074,425.44622820946006,79.18003578462107,237.75777748851738,70.7720613196018,60.09255868588266,211.79011583813102,159.89360380945433,185.1533590525144,155.33961395677588
2012-06-30,7713.250543313555,2265.0847719654776,2896.2405317659573,399.5808845928432,467.4726313724495,316.53456460602496,128.6900427984231,165.4280330733062,223.98910157501172,442.71131719881936,84.9340706006646,265.02695474746724,73.90019666388054,66.40327553933339,220.30634019802514,178.36616582034318,194.50759765603033,177.06612688021056
2012-07-31,7810.4187893930675,2288.300963353075,2900.6513970359943,403.57014585876624,460.7107392361261,315.10571863082214,129.97371076038274,168.13133345310263,229.09608993317522,447.94824485232033,87.08352407804529,274.34440965806607,73.71657392962648,65.06109732066865,222.79484731617606,183.22910252658022,191.54942694215433,167.66550800342162
2012-08-31,7964.7789819251175,2400.6234063448574,3026.4062283084727,406.11901223399514,475.4347160369777,325.3376829543023,136.7130797271731,186.02883172661743,265.9650943786102,459.1705716792944,91.10205701051,292.2492633721412,76.20249175475176,71.6778213315765,225.43256019234684,188.68254055100914,198.3214522714236,184.72459712728514
2012-09-30,8157.814588862682,2423.9607378208325,3075.0247612783896,416.8620180525009,490.28161359217677,313.9149885787348,137.92773077761672,189.01181482374204,271.6542858007726,470.8110186929623,95.53384714745505,314.22179894412443,73.60468221470536,63.48336952225533,231.37106449751653,203.81431776080788,204.7886040783273,202.17813831082364
2012-10-31,7996.376253574118,2292.9683450827633,2937.8627275078907,406.2933659399505,479.3220491604405,301.4001000653521,130.6460712862987,168.9391938766759,229.1859977594506,462.24327254427953,91.57016460084782,295.48260746821467,70.78135891195916,55.85405439471217,225.7281805332104,188.1416143630949,200.3463091475554,187.6499668543289
2012-11-30,8019.139671275049,2318.9121968896407,2970.436253221827,404.09444911424225,481.189622772642,307.41119199998695,132.3558770458415,173.00961093945662,236.48800182889883,464.8593159250003,92.42842980227233,298.4725220481213,72.25687078873759,58.962289949474325,225.44410867963896,186.26501113233073,201.45085424422726,189.7207287252239
2012-12-31,8075.8208025423255,2304.234373301877,2979.583697336924,406.53161399271045,497.2483974742643,315.53752156099944,131.73783961967618,170.56128327979906,231.91858622505043,469.01261147300914,94.3513276150479,306.8759118041339,74.09426268772461,63.3186338105866,226.9796562580546,190.19196937892565,208.7409148680111,210.23110114208197
